Reference ID,Title,Year,Venue,Contribution Type,NEW
page2021prisma,The PRISMA 2020 Statement: An Updated Guideline for Reporting Systematic Reviews,2021,BMJ,Methodology (PRISMA),yes
yeh2019fidelity,On the (In)fidelity and Sensitivity of Explanations,2019,NeurIPS,Metric definition (Faithfulness/Sensitivity/Sufficiency),yes
samek2017evaluating,Evaluating the Visualization of What a Deep Neural Network Has Learned,2017,IEEE TNNLS,Metric definition (AOPC/Pixel Flipping),yes
rieger2020irof,IROF: A Low Resource Evaluation Metric for Explanation Methods,2020,ICML WHI Workshop,Metric definition (IROF),yes
Arrieta2020XAI,Responsible AI: XAI Concepts Taxonomies and Opportunities,2020,Inf. Fusion,XAI taxonomy/foundation,no
Tjoa2021MedicalXAI,A Survey on Explainable AI: Towards Medical XAI,2021,IEEE TMI,Medical XAI survey,no
schwalbe2024comprehensive,A Comprehensive Taxonomy for Explainable AI,2024,Various,XAI taxonomy synthesis,no
speith2022review,A Review of Taxonomies of Explainable AI Methods,2022,FAccT/ACM,Taxonomy inconsistency analysis,no
jin2023guidelines,Guidelines and Evaluation of Clinical XAI,2023,Med. Image Anal.,Medical XAI guidelines,no
jin2022explainable,Explainable AI Methods in Healthcare,2022,WIREs Mech. Dis.,Attribution XAI survey,no
jin2022evaluating,Evaluating XAI Against Clinical Requirements,2022,AAAI,Multi-modal evaluation,no
holzinger2022information,Information Fusion as an Integrative Cross-Cutting Enabler,2022,Inf. Fusion,Robustness in medical AI,no
rosenfeld2021better,Better Metrics for Evaluating Explainable AI,2021,IJCAI Workshop,Metric evaluation critique,no
kadir2023evaluation,Evaluation of XAI Methods: Sensitivity Faithfulness Robustness,2023,Various,Metric prioritisation,no
mirzaei2023xai,XAI Evaluation Metrics,2023,Various,Evaluation framework,no
Varghese2025OnDE,On Defining and Evaluating XAI Metrics for Image Classification,2025,Various,Metric ranking (Borda count),yes
palatnik2021xai,XAI Using Saliency Maps for COVID CT Classifiers,2021,Sensors,Bias-sensitive saliency,no
lenis2020domain,Domain-Aware Medical Image Classifier Interpretation,2020,MICCAI,Counterfactual impact analysis,no
reyes2020interpretability,On the Interpretability of AI in Radiology,2020,Radiology: AI,Clinical reasoning alignment,no
phuong2023benchmarking,Benchmarking XAI Methods,2023,Various,Benchmarking evidence,no
Klein2024NavigatingTM,Navigating the Metric Maze,2024,Various,Metric navigation,no
coroama2022evaluation,Evaluation of XAI Methods,2022,Various,Evaluation synthesis,no
boggust2023saliency,Saliency Evaluation Beyond Average,2023,Various,Saliency critique,no
chen2022explainable,Explainable AI for Healthcare: Human-Centred Gap,2022,Various,Human-centred gap identification,no
bauer2025human,Human-Centred Explainability in Clinical Decision-Making,2025,JAMIA,Human-centred review,yes
dey2022human,Human-Centred XAI Evaluation,2022,Various,Fragmentation documentation,no
muller2022explainability,Explainability and Causability in Medical AI,2022,Various,Regulatory requirements,no
houssein2025explainable,Explainable AI in Medical Imaging,2025,Various,Recent survey,yes
zhang2026comprehensive,Comprehensive Survey of XAI in Healthcare,2026,Various,Recent survey,yes
Ahmed2026XAI,XAI in Medical Imaging: Challenges and Standards,2026,Various,Standardisation challenges,yes
groen2022systematic,Systematic Review of XAI in Radiology,2022,Eur. Radiol.,Radiology XAI review,no
de2023explainable,Explainable AI in Nuclear Medicine,2023,Various,Nuclear medicine review,no
saw2025current,Current State of XAI in Medical Imaging,2025,Various,Medical imaging survey,yes
Ghosh2024DemystifyingEC,Demystifying Explainable Counterfactuals,2024,Various,Non-medical XAI evidence,yes
Nagy2024ImprovingUM,Improving Uncertainty-Aware Metrics,2024,Various,Non-medical XAI evidence,yes
Zhang2021,Interpretable DL for 12-Lead ECG,2021,iScience,Corpus: Cardiology,no
Nurmaini2022,Grad-CAM Sensitivity in Prenatal Echocardiography,2022,J. Clin. Med.,Corpus: Cardiology,no
Vazquez2021,SHAP for Heart-Failure Mortality,2021,Comput. Biol. Med.,Corpus: Cardiology,no
Piculin2022,Interpretable HCM Progression,2022,JMIR Med. Inform.,Corpus: Cardiology,no
